id,ementas
36484,https://esaj.tjsp.jus.br/cjsg/getArquivo.do?cdAcordao=11122082&cdForo=0
36485,https://esaj.tjsp.jus.br/cjsg/getArquivo.do?cdAcordao=11122063&cdForo=0
36486,https://esaj.tjsp.jus.br/cjsg/getArquivo.do?cdAcordao=11118205&cdForo=0
36487,https://esaj.tjsp.jus.br/cjsg/getArquivo.do?cdAcordao=11117600&cdForo=0
36488,https://esaj.tjsp.jus.br/cjsg/getArquivo.do?cdAcordao=11118470&cdForo=0
36489,https://esaj.tjsp.jus.br/cjsg/getArquivo.do?cdAcordao=11117803&cdForo=0
36490,https://esaj.tjsp.jus.br/cjsg/getArquivo.do?cdAcordao=11118195&cdForo=0
36491,https://esaj.tjsp.jus.br/cjsg/getArquivo.do?cdAcordao=11118193&cdForo=0
36492,https://esaj.tjsp.jus.br/cjsg/getArquivo.do?cdAcordao=11118916&cdForo=0
36493,https://esaj.tjsp.jus.br/cjsg/getArquivo.do?cdAcordao=11118901&cdForo=0
36494,https://esaj.tjsp.jus.br/cjsg/getArquivo.do?cdAcordao=11116729&cdForo=0
36495,https://esaj.tjsp.jus.br/cjsg/getArquivo.do?cdAcordao=11116014&cdForo=0
36496,https://esaj.tjsp.jus.br/cjsg/getArquivo.do?cdAcordao=11115226&cdForo=0
36497,https://esaj.tjsp.jus.br/cjsg/getArquivo.do?cdAcordao=11115225&cdForo=0
36498,https://esaj.tjsp.jus.br/cjsg/getArquivo.do?cdAcordao=11114065&cdForo=0
36499,https://esaj.tjsp.jus.br/cjsg/getArquivo.do?cdAcordao=11112995&cdForo=0
36500,https://esaj.tjsp.jus.br/cjsg/getArquivo.do?cdAcordao=11112965&cdForo=0
36501,https://esaj.tjsp.jus.br/cjsg/getArquivo.do?cdAcordao=11114271&cdForo=0
36502,https://esaj.tjsp.jus.br/cjsg/getArquivo.do?cdAcordao=11113906&cdForo=0
36503,https://esaj.tjsp.jus.br/cjsg/getArquivo.do?cdAcordao=11114059&cdForo=0
36504,https://esaj.tjsp.jus.br/cjsg/getArquivo.do?cdAcordao=11114058&cdForo=0
36505,https://esaj.tjsp.jus.br/cjsg/getArquivo.do?cdAcordao=11111826&cdForo=0
36506,https://esaj.tjsp.jus.br/cjsg/getArquivo.do?cdAcordao=11111785&cdForo=0
36507,https://esaj.tjsp.jus.br/cjsg/getArquivo.do?cdAcordao=11111784&cdForo=0
36508,https://esaj.tjsp.jus.br/cjsg/getArquivo.do?cdAcordao=11110602&cdForo=0
36509,https://esaj.tjsp.jus.br/cjsg/getArquivo.do?cdAcordao=11110600&cdForo=0
36510,https://esaj.tjsp.jus.br/cjsg/getArquivo.do?cdAcordao=11110159&cdForo=0
36511,https://esaj.tjsp.jus.br/cjsg/getArquivo.do?cdAcordao=11110199&cdForo=0
36512,https://esaj.tjsp.jus.br/cjsg/getArquivo.do?cdAcordao=11110198&cdForo=0
36513,https://esaj.tjsp.jus.br/cjsg/getArquivo.do?cdAcordao=11110188&cdForo=0
36514,https://esaj.tjsp.jus.br/cjsg/getArquivo.do?cdAcordao=11110147&cdForo=0
36515,https://esaj.tjsp.jus.br/cjsg/getArquivo.do?cdAcordao=11110242&cdForo=0
36516,https://esaj.tjsp.jus.br/cjsg/getArquivo.do?cdAcordao=11110140&cdForo=0
36517,https://esaj.tjsp.jus.br/cjsg/getArquivo.do?cdAcordao=11110175&cdForo=0
36518,https://esaj.tjsp.jus.br/cjsg/getArquivo.do?cdAcordao=11110231&cdForo=0
36519,https://esaj.tjsp.jus.br/cjsg/getArquivo.do?cdAcordao=11110230&cdForo=0
36520,https://esaj.tjsp.jus.br/cjsg/getArquivo.do?cdAcordao=11110163&cdForo=0
